Title,Authors
"Multi-objective Fuzzy Quadratic programming problems using Taylor Series Approach","A Nagoorgani, R Irene Hepzibah, R Balasubramanian"
"Guest editorial special issue on edge-cloud interplay based on SDN and NFV for next-generation IoT applications","Sahil Garg, Song Guo, Vincenzo Piuri, Kim-Kwang Raymond Choo, Balasubramanian Raman"
"A novel image encryption framework based on Markov map and singular value decomposition","Gaurav Bhatnagar, QM Jonathan Wu, Balasubramanian Raman"
"FusedNet Model for Varietal Classification of Rice Seeds","Nitin Tyagi, Yash Khandelwal, Pratham Goyal, Yash Asati, Balasubramanian Raman, Indra Gupta, Neerja Garg"
"Local neighborhood difference pattern: A new feature descriptor for natural and texture image retrieval","Manisha Verma, Balasubramanian Raman"
"Feature Extraction and Identification of Indian Currency Notes Fifth National Conference on Computer Vision","Snigdha Kamal, Simarpreet Singh Chawla, Nidhi Goel, Balasubramanian Raman"
"Navigation and surveillance using night vision and image fusion","Gaurav Bhatnagar, QM Jonathan Wu, Balasubramanian Raman"
"Application of klt (kanade-lucas-tomasi) tracker for hotspot observation","Tasneem Ahmed, Dharmendra Singh, D Singh, B Raman, R Subramanian"
"Classification of Hard and Soft Wheat Species Using Hyperspectral Imaging and Machine Learning Models","Nitin Tyagi, Balasubramanian Raman, Neerja Garg"
"Affective Feedback Synthesis Towards Multimodal Text and Image Data","Puneet Kumar, Gaurav Bhatt, Omkar Ingle, Daksh Goyal, Balasubramanian Raman"
"Multiresolution LBP correlogram for texture image indexing and Retrieval","Subrahmanyam Murala, RP Maheshwari, R Balasubramanian"
"Images: A dataset and texture-feature based performance evaluation","M Verma, N Sood, Partha Pratim Roy, Balasubramanian Raman"
"Computer Vision and Image Processing: 4th International Conference, CVIP 2019, Jaipur, India, September 27–29, 2019, Revised Selected Papers, Part II","Neeta Nain, Santosh Kumar Vipparthi, Balasubramanian Raman"
"Multi-oriented Text Detection from Video Using Sub-pixel Mapping","Anshul Mittal, Partha Pratim Roy, Balasubramanian Raman"
"Domain adaptation based technique for image emotion recognition using image captions","Puneet Kumar, Balasubramanian Raman"
"An approach to use polarimetric signature for land cover classification","Ajay Kumar Maurya, Tasneem Ahmed, Dharmendra Singh, Raman Balasubramanian"
"Indexing Scheme for Iris Using Discrete Cosine and Discrete Wavelet Transform","Himanshu Buckchash, Balasubramanian Raman"
"Vector r-ordering based selection of segments for video skimming","VK Vivekraj, Raman Balasubramanian, Debashis Sen"
"Robust gray-scale logo watermarking in wavelet domain","Gaurav Bhatnagar, QM Jonathan Wu, Balasubramanian Raman"
"An image copyright protection scheme by encrypting secret data with the host image","Asha Rani, Balasubramanian Raman"
"Distributed multiresolution discrete Fourier transform and its application to watermarking","Gaurav Bhatnagar, Balasubramanian Raman"
"Distributed Multiresolution Transform Based Framework for Watermarking","Bhatnagar, Gaurav, Jonathan Wu, Balasubramanian Raman"
"Best tree wavelet packet transform based copyright protection scheme for digital images","Sanjay Rawat, Balasubramanian Raman"
"Deep residual infrared action recognition by integrating local and global spatio-temporal cues","Javed Imran, Balasubramanian Raman"
"Development of a clustering based fusion framework for locating the most consistent IrisCodes bits","Debanjan Sadhya, Kanjar De, Raman Balasubramanian, Partha Pratim Roy"
"Towards Engagement Prediction: A Cross-Modality Dual-Pipeline Approach using Visual and Audio Features","Deepak Kumar, Surbhi Madan, Pradeep Singh, Abhinav Dhall, Balasubramanian Raman"
"A robust watermarking scheme exploiting balanced neural tree for rightful ownership protection","Asha Rani, Balasubramanian Raman, Sanjeev Kumar"
"Planning Brachistochrone Hip Trajectory for a Toe-Foot Bipedal Robot going Downstairs","Gaurav Bhardwaj, Utkarsh A Mishra, N Sukavanam, R Balasubramanian"
"Region extraction based approach for cigarette usage classification using deep learning","Anshul Pundhir, Deepak Verma, Puneet Kumar, Balasubramanian Raman"
"Partial encryption on SPIHT compressed images","Nidhi Taneja, Balasubramanian Raman, Indra Gupta"
"Fast terminal discrete-time sliding mode control with fuzzy-based impedance modulation for toe foot bipedal robot going upstairs","Gaurav Bhardwaj, Nagarajan Sukavanam, Balasubramanian Raman"
"A new image fusion technique based on directive contrast","Gaurav Bhatnagar, Balasubramanian Raman"
"CASE STUDY: IMPACT OF MEAN MONTHLY DIURNAL TEMPERATURE VARIATION AND RAINFALL EVENTS ON THE OCCURRENCE OF MALARIA CASES AND PREPARATION OF DISEASE TRANSMISSION WINDOW IN …","NAHUSH KULKARNI, SHIRISH KHEDIKAR, M DANISH, R BALASUBRAMANIAN"
"P2SLR: A Privacy-Preserving Sign Language Recognition as-a-Cloud Service Using Deep Learning For Encrypted Gestures","Vishesh Kumar Tanwar, Balasubramanian Raman, Rama Bhargava"
"A blind watermarking algorithm based on fractional Fourier transform and visual cryptography","Sanjay Rawat, Balasubramanian Raman"
"Selection of critical segmentation-A prerequisite for Object based image classification","Mohit Srivastava, Manoj K Arora, Balasubramanian Raman"
"Computing the curve-skeletons of images","Yatharth Saraf, Balasubramanian Raman, Swaminathan Krishnan"
"An unsupervised neural network approach for inverse kinematics solution of manipulator following kalman filter based trajectory","Gaurav Bhardwaj, N Sukavanam, Ruchi Panwar, R Balasubramanian"
"Re-calibrated Attention-Based Deep Learning Technique for Dermoscopic Lesion Segmentation","Rishabh Mamgain, Balasubramanian Raman, Ridhi Arora"
"A probabilistic approach for the reconstruction of polyhedral objects using shape from shading technique","Manoj Kumar, R Balasubramanian, Rama Bhargava, K Swaminathan"
"Domain Adaptation based Technique for Image Emotion Recognition using Pre-trained Facial Expression Recognition Models","Puneet Kumar, Balasubramanian Raman"
"A new robust reference logo watermarking scheme","Gaurav Bhatnagar, Balasubramanian Raman"
"FPGA implementation of image dehazing algorithm for real time applications","Rahul Kumar, Brajesh Kumar Kaushik, R Balasubramanian"
"Planning adaptive brachistochrone and circular arc hip trajectory for a toe-foot bipedal robot going downstairs","G Bhardwaj, UA Mishra, Nagarajan Sukavanam, R Balasubramanian"
"Development of a multispectral active stereo vision system for video surveillance applications","Sanjeev Kumar, R Balasubramanian"
"Segmentation Scheme for Medical Images","Anjali Gautam, Debanjan Sadhya, Balasubramanian Raman"
"Multipurpose Invisible and Visible Digital Image Watermarking Schemes","Himanshu Agarwal"
"Brain strokes classification by extracting quantum information from CT scans","Anjali Gautam, Balasubramanian Raman"
"Motion estimation from image sequences: A fractional order total variation model","Pushpendra Kumar, Balasubramanian Raman"
"Local extrema co-occurrence pattern for color and texture image retrieval","Manisha Verma, Balasubramanian Raman, Subrahmanyam Murala"
"A secure image sharing scheme based on SVD and Fractional Fourier Transform","Priyanka Singh, Balasubramanian Raman, Manoj Misra"
"DWT-SVD based dual watermarking scheme","Gaurav Bhatnagar, Balasubramanian Raman, K Swaminathan"
"A reversible robust watermarking scheme based on two out of two visual cryptography approach","Priyanka Singh, Balasubramanian Raman, Manoj Misra"
"Privacy-preserving human action recognition as a remote cloud service using RGB-D sensors and deep CNN","Amitesh Singh Rajput, Balasubramanian Raman, Javed Imran"
"Vision Through the Veil: Differential Privacy in Federated Learning for Medical Image Classification","Kishore Babu Nampalle, Pradeep Singh, Uppala Vivek Narayan, Balasubramanian Raman"
"A novel colour-and texture-based image retrieval technique using multi-resolution local extrema peak valley pattern and RGB colour histogram","Madhumanti Dey, Balasubramanian Raman, Manisha Verma"
"Local gradient of gradient pattern: a robust image descriptor for the classification of brain strokes from computed tomography images","Anjali Gautam, Balasubramanian Raman"
"Fusion of submanifold and local texture features for palmprint authentication","Asha Rani, Manisha Verma, Balasubramanian Raman"
"Wavelet packet transform-based robust video watermarking technique","GAURAV BHATNAGAR, BALASUBRMANIAN RAMAN"
"Text recognition in scene image and video frame using color channel selection","Ayan Kumar Bhunia, Gautam Kumar, Partha Pratim Roy, Raman Balasubramanian, Umapada Pal"
"Zero-shot learning based cross-lingual sentiment analysis for sanskrit text with insufficient labeled data","Puneet Kumar, Kshitij Pathania, Balasubramanian Raman"
"Evaluating fusion of RGB-D and inertial sensors for multimodal human action recognition","Javed Imran, Balasubramanian Raman"
"VISTANet: VIsual Spoken Textual Additive Net for Interpretable Multimodal Emotion Recognition","Puneet Kumar, Sarthak Malik, Balasubramanian Raman, Xiaobai Li"
"Transcending Grids: Point Clouds and Surface Representations Powering Neurological Processing","Kishore Babu Nampalle, Pradeep Singh, Vivek Narayan Uppala, Sumit Gangwar, Rajesh Singh Negi, Balasubramanian Raman"
"Reconstruction of 3D Objects from 2D views: Simulation, Applications and Error Analysis","Dr Sanjeev Kumar"
"Stereo matching for 3d building reconstruction","Gaurav Gupta, R Balasubramanian, MS Rawat, R Bhargava, B Gopala Krishna"
"Meta-classifier approach with ANN, SVM, rotation forest, and random forest for snow cover mapping","Rahul Nijhawan, Balasubramanian Raman, Josodhir Das"
"An Efficient Disparity Estimation Using Fractional Dual-Tree Complex Wavelet Transform: A Multiscale Approach","Kumar Sanoj, Balasubramanian Raman, N Sukavanam"
"Memory efficient architecture for lifting-based discrete wavelet packet transform","Samba Raju Chiluveru, Balasubramanian Raman, Manoj Tripathy, Brajesh Kumar Kaushik"
"Cloud based image color transfer and storage in encrypted domain","Amitesh Singh Rajput, Balasubramanian Raman"
"Reversible data hiding for rightful ownership assertion of images in encrypted domain over cloud","Priyanka Singh, Balasubramanian Raman"
"Biasing & Debiasing based Approach Towards Fair Knowledge Transfer for Equitable Skin Analysis","Anshul Pundhir, Balasubramanian Raman, Pravendra Singh"
"CryptFine: Towards secure cloud based filtering in encrypted domain","Amitesh Singh Rajput, Priyanka Singh, Balasubramanian Raman"
"Combining neural, statistical and external features for fake news stance identification","Gaurav Bhatt, Aman Sharma, Shivam Sharma, Ankush Nagpal, Balasubramanian Raman, Ankush Mittal"
"Dutrinet: Dual-stream triplet siamese network for self-supervised action recognition by modeling temporal correlations","Himanshu Buckchash, Balasubramanian Raman"
"Transcending Grids: Point Clouds and Surface Representations Powering Neurological Processing","Kishore Babu Nampalle, Pradeep Singh, Vivek Narayan Uppala, Sumit Gangwar, Rajesh Singh Negi, Balasubramanian Raman"
"Some Efficient Algorithms for Optical Flow Estimation","Pushpendra Kumar"
"A Segment Level Approach to Speech Emotion Recognition using Transfer Learning","Balasubramanian Raman, Partha Pratim Roy"
"Modified curvelet transform with vocabulary tree for content based image retrieval","Anil Balaji Gonde, RP Maheshwari, Raman Balasubramanian"
"Secure cloud-based image tampering detection and localization using POB number system","Priyanka Singh, Balasubramanian Raman, Nishant Agarwal, Pradeep K Atrey"
"Human motion generation by stochastic conditioning of deep recurrent networks on pose manifolds","Himanshu Buckchash, Balasubramanian Raman"
"Approximation-Aware Training for Efficient Neural Network Inference on MRAM Based CiM Architecture","Hemkant Nehete, Sandeep Soni, Tharun Kumar Reddy Bollu, Balasubramanian Raman, Brajesh Kumar Kaushik"
"Medical image security and authenticity via dual encryption","Kishore Babu Nampalle, Shriansh Manhas, Balasubramanian Raman"
"Computational Models for Academic Performance Estimation","Vipul Bansal, Himanshu Buckchash, Balasubramanian Raman"
"IMAGE ANALYSIS IN MATERIALS AND LIFE SCIENCES Proceedings of SCIAMAL-99, November 7-10, 1999, Kalpakkam, India.","R Balasubramanian, Sukhendu Das, K Swaminathan"
"BUS-Net: Breast tumour detection network for ultrasound images using bi-directional convlstm and dense residual connections","Ridhi Arora, Balasubramanian Raman"
"A hybrid approach for the delineation of brain lesion from CT images","Anjali Gautam, Balasubramanian Raman, Shailendra Raghuvanshi"
"Object tracking using joint histogram of color and local rhombus pattern","Manisha Verma, Balasubramanian Raman"
"Fire Detection Model Using Deep Learning Techniques","Arun Singh Pundir, Balasubramanian Raman"
"Recognizing human gestures using a novel SVM tree","Hitesh Jain, Abhik Chatterjee, Sanjeev Kumar, Balasubramanian Raman"
"FusedNet Model for Varietal Classification of Rice Seeds","Balasubramanian Raman, Indra Gupta, Neerja Garg"
"A machine learning framework for security and privacy issues in building trust for social networking","Robin Singh Bhadoria, Naman Bhoj, Manoj Kumar Srivastav, Rahul Kumar, Balasubramanian Raman"
"Dual watermarking scheme via sub-sampling in WPT-SVD domain","Gaurav Bhatnagar, Balasubramanian Raman"
"CryptoCT: towards privacy preserving color transfer and storage over cloud","Amitesh Singh Rajput, Balasubramanian Raman"
"Study of finite word–length effect on the performance of watermarking methods","Himanshu Agarwal, Balasubramanian Raman"
"Sustained self-supervised pretraining for temporal order verification","Himanshu Buckchash, Balasubramanian Raman"
"An automatic personalized photo recommender system based on learning user preferences","Sweta Arya, Debashis Sen, Balasubramanian Raman"
"Three-stream spatio-temporal attention network for first-person action and interaction recognition","Javed Imran, Balasubramanian Raman"
"An image copyright protection system using chaotic maps","Asha Rani, Balasubramanian Raman"
"Self-supervised and Unsupervised Learning in Deep Learning","Pradeep Singh, Balasubramanian Raman"
"An integrated approach for prediction of magnitude using deep learning techniques","Anushka Joshi, Balasubramanian Raman, C Krishna Mohan"
"A publicly verifiable lossless watermarking scheme for copyright protection and ownership assertion","Sanjay Rawat, Balasubramanian Raman"
"Auto-wcebleedgen version v1 and v2: Challenge, datasets and evaluation","Misa Hub, Palak Handa, Divyansh Nautiyal, Deepti Chhabra, Manas Dhir, Anushka Saini, Shreshtha Jha, Harshita Mangotra, Nishu Pandey, Advika Thakur, Tanisha Singh, Charvi Bansal, Nikita Garg, Jyoti Dhatarwal, Prakriti Maurya, Balasubramanian Raman, Nidhi Goel, Mohammed Tabish, Rajat Bansal, Syed Ahmad, Deepak Gunjan"
"Multimodal Emotion Recognition & Affective Feedback Synthesis (ICVGIP 2021 Doctoral Symposium)","Puneet Kumar, Balasubramanian Raman"
"Vector ordering based multimodal video skimming for user videos","VK Vivekraj, Debashis Sen, R Balasubramanian"
"An efficient approach for skin lesion segmentation using dermoscopic images: A deep learning approach","Kishore Babu Nampalle, Balasubramanian Raman"
"Predicting diabetes mellitus using data mining techniques","J Steffi, R Balasubramanian, Mr K Aravind Kumar"
"A new feature for image retrieval using atrous wavelet transform and textons","Anil Balaji Gonde, RP Maheshwari, R Balasubramanian"
"Analysis of comparators for binary watermarks","Himanshu Agarwal, Balasubramanian Raman, Pradeep K Atrey, Mohan Kankanhalli"
"Acoustic features fusion using attentive multi-channel deep architecture","Gaurav Bhatt, Akshita Gupta, Aditya Arora, Balasubramanian Raman"
"Error analysis in the reconstruction of a parabola in 3D from two arbitrary perspective views","Ashutosh Shukla, Abhinav Saxena, Bhavesh Neekhra, Raman Balasubramanian, Krishnan Swaminathan"
"Visually Aware Metadata-Guided Supervision for Improved Skin Lesion Classification Using Deep Learning","Balasubramanian Raman"
"Proposed hybrid-classifier ensemble algorithm to map snow cover area","Rahul Nijhawan, Balasubramanian Raman, Josodhir Das"
"Discriminative auto-encoding for classification and representation learning problems","Vipul Bansal, Himanshu Buckchash, Balasubramanian Raman"
"An ICA Mixture Model Based Approach for Sub-pixel Classification of Hyperspectral Data","N Prabhu, Manoj K Arora, R Balasubramanian, Kapil Gupta"
"Vector R-ordering based selection of segments for video skimming","Raman Balasubramanian, Debashis Sen"
"AN INTRODUCTION TO VARIOUS APPROACHES OF DATA ACQUISITION: APPLICATION IN CITY MODELING","Asha Rani, Balasubramanian Raman, Rama Bhargava"
"A computer vision framework for detecting and preventing human-elephant collisions","Pushkar Shukla, Isha Dua, Balasubramanian Raman, Ankush Mittal"
"Multi-quantized local binary patterns for facial gender classification","Bhavik Patel, RP Maheshwari, R Balasubramanian"
"Representation learning using step-based deep multi-modal autoencoders","Gaurav Bhatt, Piyush Jha, Balasubramanian Raman"
"CGHF: A computational decision support system for glioma classification using hybrid radiomics-and stationary wavelet-based features","Rahul Kumar, Ankur Gupta, Harkirat Singh Arora, Ganesh Namasivayam Pandian, Balasubramanian Raman"
"A correlogram algorithm for image indexing and retrieval using wavelet and rotated wavelet filters","Murala Subrahmanyam, RP Maheshwari, R Balasubramanian"
"SHELBRS: Location-based recommendation services using switchable homomorphic encryption","Mishel Jain, Priyanka Singh, Balasubramanian Raman"
"Prediction of advertisement preference by fusing EEG response and sentiment analysis","Himaanshu Gauba, Pradeep Kumar, Partha Pratim Roy, Priyanka Singh, Debi Prosad Dogra, Balasubramanian Raman"
"Chaos based joint compression and encryption framework for end‐to‐end communication systems","Nidhi Goel, Balasubramanian Raman, Indra Gupta"
"Stereo image coding via digital watermarking","Gaurav Bhatnagar, Sanjeev Kumar, Balasubramanian Raman, Nagarajan Sukavanam"
"Integrating geometric and textural features for facial emotion classification using SVM frameworks","Samyak Datta, Debashis Sen, Raman Balasubramanian"
